,,Fruitshakes Grande,,,,,,,,,,,,,,,Fruitshakes Petite,,,,,,,,,,,,,,,Milk Shakes Grande,,,,,,,,,,Milk Shakes Petite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Items,Grams / Pc,Avocado,Mango,Avo Mango,Blueberry Creamcheese,Strawberry Creamcheese,Durian,Buko,Ube with Cheese,Salted Mango Caramel,Matcha Strawberry,Melon,Guyabano,Buko Pandan,Peach Mango,Green Apple Kiwi,Avocado,Mango,Avo Mango,Blueberry Creamcheese,Strawberry Creamcheese,Durian,Buko,Ube with Cheese,Salted Mango Caramel,Matcha Strawberry,Melon,Guyabano,Buko Pandan,Peach Mango,Green Apple Kiwi,Chocolate Kisses,Oreo Milo,Cookies and Cream,Strawberry,Salted Caramel,Matcha,Coffee Crumble,Dark Mocha,Matcha Oreo,Capuccino,Chocolate Kisses,Oreo Milo,Cookies and Cream,Strawberry,Salted Caramel,Matcha,Coffee Crumble,Dark Mocha,Matcha Oreo,Capuccino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
